Date,Open,Change %
2018-01-02,13444,9.74
2018-01-01,13850,-2.93
2017-12-31,12532,10.52
2017-12-30,14392,-12.93
2017-12-29,14398,-0.04
2017-12-28,15416,-6.6
2017-12-27,15757,-2.16
2017-12-26,13830,13.9
2017-12-25,13790,0.32
2017-12-24,14396,-4.21
2017-12-23,13665,5.35
2017-12-22,15632,-12.58
2017-12-21,16461,-5.04
2017-12-20,17521,-6.06
2017-12-19,18971,-7.64
2017-12-18,19065,-0.49
2017-12-17,19346,-1.45
2017-12-16,17594,9.89
2017-12-15,16467,6.9
2017-12-14,16286,1.11
2017-12-13,17083,-4.67
2017-12-12,16733,2.1
2017-12-11,15060,11.11
2017-12-10,14840,1.46
2017-12-09,16048,-7.5
2017-12-08,16868,-4.76
2017-12-07,13750,22.55
2017-12-06,11667,17.85
2017-12-05,11624,0.37
2017-12-04,11244,3.36
2017-12-03,10912,3.06
2017-12-02,10861,0.47
2017-12-01,9947,9.2
2017-11-30,9848,1.11
2017-11-29,9906,-0.69
2017-11-28,9732,1.78
2017-11-27,9318,4.45
2017-11-26,8754,6.44
2017-11-25,8203,6.75
2017-11-24,8013,2.34
2017-11-23,8234,-2.69
2017-11-22,8099,1.66
2017-11-21,8245,-1.76
2017-11-20,8042,2.51
2017-11-19,7781,3.36
2017-11-18,7700,1.05
2017-11-17,7853,-1.96
2017-11-16,7283,7.83
2017-11-15,6597,10.4
2017-11-14,6522,1.14
2017-11-13,5878,10.96
2017-11-12,6339,-7.28
2017-11-11,6565,-3.44
2017-11-10,7129,-7.91
2017-11-09,7444,-4.23
2017-11-08,7102,4.81
2017-11-07,6959,2.06
2017-11-06,7389,-5.82
2017-11-05,7363,0.35
2017-11-04,7147,2.96
2017-11-03,7024,1.81
2017-11-02,6737,4.26
2017-11-01,6449,4.44
2017-10-31,6124,5.34
2017-10-30,6147,-0.38
2017-10-29,5726,7.35
2017-10-28,5764,-0.66
2017-10-27,5887,-2.09
2017-10-26,5734,2.68
2017-10-25,5513,4.01
2017-10-24,5903,-6.62
2017-10-23,5982,-1.32
2017-10-22,6006,-0.4
2017-10-21,5993,0.23
2017-10-20,5698,5.17
2017-10-19,5576,2.2
2017-10-18,5598,-0.41
2017-10-17,5759,-2.79
2017-10-16,5677,1.25
2017-10-15,5824,-2.34
2017-10-14,5637,3.33
2017-10-13,5432,3.77
2017-10-12,4824,12.61
2017-10-11,4763,1.28
2017-10-10,4777,-0.3
2017-10-09,4611,3.59
2017-10-08,4435,3.97
2017-10-07,4371,1.46
2017-10-06,4321,1.17
2017-10-05,4218,2.44
2017-10-04,4314,-2.21
2017-10-03,4401,-1.98
2017-10-02,4403,-0.04
2017-10-01,4360,0.97
2017-09-30,4172,4.5
2017-09-29,4195,-0.54
2017-09-28,4212,-0.39
2017-09-27,3892,8.21
2017-09-26,3932,-1.02
2017-09-25,3667,7.23
2017-09-24,3788,-3.18
2017-09-23,3600,5.2
2017-09-22,3617,-0.45
2017-09-21,3882,-6.82
2017-09-20,3908,-0.66
2017-09-19,4100,-4.69
2017-09-18,3689,11.13
2017-09-17,3698,-0.25
2017-09-16,3713,-0.4
2017-09-15,3243,14.51
2017-09-14,3870,-16.21
2017-09-13,4158,-6.94
2017-09-12,4217,-1.4
2017-09-11,4245,-0.66
2017-09-10,4335,-2.06
2017-09-09,4326,0.2
2017-09-08,4635,-6.67
2017-09-07,4618,0.37
2017-09-06,4409,4.75
2017-09-05,4267,3.32
2017-09-04,4612,-7.49
2017-09-03,4573,0.86
2017-09-02,4921,-7.07
